Korszak_Filter,Konfliktus_Filter,Terep_Filter,Matching_Categories_Sorted_String,Image_names,Categories_to_be_generated,Images-to-be-generated,Substring_Count
Modern Kor,Afganisztáni Háború,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,2
Modern Kor,Afganisztáni Háború,Városi Harc,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Tengeralattjárók|Építési kellékek,hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|submarine.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Tengeralattjárók|Építési kellékek,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|submarine.png,6
Modern Kor,Afganisztáni Háború,Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png,Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopterek|Jármű modellek|Repülők|Terptárgyak,hajo.png|submarine.png|helicopter.png|helicopter.png|car.png|plane.png,6
Modern Kor,Afganisztáni Háború (2001-),Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png,Helikopterek|Karakterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek,helicopter.png|katona.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png,6
Modern Kor,Afganisztáni Háború (2001-),Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|submarine.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|submarine.png,6
Modern Kor,Afganisztáni Háború (2001-),Mérsékelt Övi Síkság/Dombvidék,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Tengeralattjárók|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|submarine.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|submarine.png,6
Modern Kor,Afganisztáni Háború (2001-),Sivatag,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Tengeralattjárók|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|submarine.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Raketa rendszerek|Tengeralattjárók|Terptárgyak,hajo.png|submarine.png|helicopter.png|katona.png|Raketa rendszerek.png|submarine.png,6
Modern Kor,Afganisztáni Háború (2001-),Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,2
Modern Kor,Afganisztáni Háború (2001-),Városi Harc,Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Tengeralattjárók|Építési kellékek,hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|submarine.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Tengeralattjárók|Építési kellékek|Karakterek,hajo.png|submarine.png|helicopter.png|katona.png|submarine.png|katona.png,6
Modern Kor,Afganisztáni Háború (2001-),Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png,Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopterek|Jármű modellek|Repülők|Terptárgyak,hajo.png|submarine.png|helicopter.png|helicopter.png|car.png|plane.png,6
Modern Kor,Arab-Izraeli Háborúk,Dzsungel/Trópusi Erdő,Helikopterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopterek|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Modern Kor,Arab-Izraeli Háborúk,Sztyeppe,Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,5
Modern Kor,Arab-Izraeli Háborúk,Tundra/Havas Táj,Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,howizer.png|howizer.png|howizer.png|howizer.png,Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,howizer.png|howizer.png|howizer.png|howizer.png,4
Modern Kor,Délszláv Háborúk,Dzsungel/Trópusi Erdő,Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,5
Modern Kor,Délszláv Háborúk,Sztyeppe,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg|Helikopterek,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|helicopter.png,6
Modern Kor,Délszláv Háborúk,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg,hajo.png|submarine.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,6
Modern Kor,Hatnapos Háború,Dzsungel/Trópusi Erdő,Helikopter modellek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,Helikopter modellek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,2
Modern Kor,Hatnapos Háború,Hegyi Terep,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,3
