Korszak_Filter,Konfliktus_Filter,Terep_Filter,Matching_Categories_Sorted_String,Image_names,Categories_to_be_generated,Images-to-be-generated,Substring_Count
Modern Kor,Iraki Háború (2003-),Sztyeppe,Helikopterek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,Helikopterek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,2
Modern Kor,Iraki Háború (2003-),Vízközeli,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Jármű modellek|Repülők|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|car.png|plane.png|plane.png,Hajó és tengeralattjáró modellek|Helikopter modellek|Helikopterek|Jármű modellek|Repülők|Terptárgyak,hajo.png|submarine.png|helicopter.png|helicopter.png|car.png|plane.png,6
Modern Kor,Iráni-Iraki Háború,Dzsungel/Trópusi Erdő,Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Modern Kor,Iráni-Iraki Háború,Hegyi Terep,Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Modern Kor,Iráni-Iraki Háború,Mérsékelt Övi Síkság/Dombvidék,Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek,Raketa rendszerek.png|plane.png|howizer.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,6
Modern Kor,Iráni-Iraki Háború,Sivatag,Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek,Raketa rendszerek.png|plane.png|howizer.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,6
Modern Kor,Iráni-Iraki Háború,Sztyeppe,Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek,Raketa rendszerek.png|plane.png|howizer.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,6
Modern Kor,Iráni-Iraki Háború,Tundra/Havas Táj,Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png,5
Modern Kor,Iráni-Iraki Háború,Városi Harc,Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png,6
Modern Kor,Jom Kippuri Háború,Dzsungel/Trópusi Erdő,Helikopter modellek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,Helikopter modellek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png,2
Modern Kor,Jom Kippuri Háború,Hegyi Terep,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,Helikopter modellek|Karakterek|Karakterek,helicopter.png|katona.png|katona.png,3
Modern Kor,Jom Kippuri Háború,Mérsékelt Övi Síkság/Dombvidék,Helikopter modellek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Építési kellékek,helicopter.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,Helikopter modellek|Karakterek|Raketa rendszerek|Építési kellékek|Raketa rendszerek|Raketa rendszerek,helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,5
Modern Kor,Jom Kippuri Háború,Sivatag,Helikopter modellek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Építési kellékek,helicopter.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,Helikopter modellek|Karakterek|Raketa rendszerek|Építési kellékek|Raketa rendszerek|Raketa rendszerek,helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,5
Modern Kor,Jom Kippuri Háború,Sztyeppe,Helikopter modellek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,Helikopter modellek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek,helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png,6
Modern Kor,Jom Kippuri Háború,Városi Harc,Helikopter modellek|Karakterek|Karakterek|Építési kellékek,helicopter.png|katona.png|katona.png,Helikopter modellek|Karakterek|Karakterek|Építési kellékek,helicopter.png|katona.png|katona.png,3
Modern Kor,Koreai Háború,Dzsungel/Trópusi Erdő,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Mérsékelt Övi Síkság/Dombvidék,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Partraszállás/Vízközeli,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|hajo.png|tank.png|tank.png|tank.png,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|hajo.png|tank.png|tank.png|tank.png,5
Modern Kor,Koreai Háború,Sivatag,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Sztyeppe,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Tundra/Havas Táj,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Városi Harc,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Koreai Háború,Vízközeli,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|hajo.png|tank.png|tank.png|tank.png,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|hajo.png|tank.png|tank.png|tank.png,5
Modern Kor,Kínai-Vietnami Háború,Dzsungel/Trópusi Erdő,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,3
Modern Kor,Kínai-Vietnami Háború,Hegyi Terep,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,3
Modern Kor,Kínai-Vietnami Háború,Mérsékelt Övi Síkság/Dombvidék,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,Raketa rendszerek|Ágyú löveg|Ágyú löveg,Raketa rendszerek.png|howizer.png|howizer.png,3
Modern Kor,Kínai-Vietnami Háború,Sivatag,Raketa rendszerek|Ágyú löveg,Raketa rendszerek.png|howizer.png,Raketa rendszerek|Ágyú löveg,Raketa rendszerek.png|howizer.png,2
Modern Kor,Kínai-Vietnami Háború,Városi Harc,Raketa rendszerek|Ágyú löveg,Raketa rendszerek.png|howizer.png,Raketa rendszerek|Ágyú löveg,Raketa rendszerek.png|howizer.png,2
Modern Kor,Modern Kor,Vízközeli,Hajó és tengeralattjáró modellek|Repülő modellek|Repülő modellek|Építési kellékek|Építési kellékek|Építési kellékek|Épületek|Épületek|Épületek|Épületek|Épületek,hajo.png|submarine.png|plane.png|plane.png,Hajó és tengeralattjáró modellek|Repülő modellek|Építési kellékek|Épületek|Épületek|Épületek,hajo.png|submarine.png|plane.png,3
Modern Kor,Második Világháború,Dzsungel/Trópusi Erdő,Karakterek|Ágyú löveg|Ágyú löveg,katona.png|howizer.png|howizer.png,Karakterek|Ágyú löveg|Ágyú löveg,katona.png|howizer.png|howizer.png,3
Modern Kor,Második Világháború,Mérsékelt Övi Síkság/Dombvidék,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,5
Modern Kor,Második Világháború,Partraszállás/Vízközeli,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Karakterek|Karakterek,hajo.png|hajo.png|tank.png|tank.png|tank.png|katona.png|katona.png,Hajók|Harcjármű modellek|Karakterek|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|tank.png|katona.png|tank.png|tank.png|tank.png,6
Modern Kor,Második Világháború,Sivatag,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,5
Modern Kor,Második Világháború,Sztyeppe,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,Ágyú löveg|Ágyú löveg,howizer.png|howizer.png,2
Modern Kor,Második Világháború,Tundra/Havas Táj,Karakterek|Ágyú löveg|Ágyú löveg,katona.png|howizer.png|howizer.png,Karakterek|Ágyú löveg|Ágyú löveg,katona.png|howizer.png|howizer.png,3
Modern Kor,Második Világháború,Városi Harc,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,Karakterek|Karakterek|Karakterek|Ágyú löveg|Ágyú löveg,katona.png|katona.png|katona.png|howizer.png|howizer.png,5
Modern Kor,Második Világháború,Vízközeli,Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Karakterek|Karakterek,hajo.png|hajo.png|tank.png|tank.png|tank.png|katona.png|katona.png,Hajók|Harcjármű modellek|Karakterek|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek,hajo.png|tank.png|katona.png|tank.png|tank.png|tank.png,6
Modern Kor,Szovjet-Afgán Háború,Dzsungel/Trópusi Erdő,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg|Helikopterek,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|helicopter.png,6
Modern Kor,Szovjet-Afgán Háború,Hegyi Terep,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak,helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,5
Modern Kor,Szovjet-Afgán Háború,Mérsékelt Övi Síkság/Dombvidék,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg,helicopter.png|helicopter.png|Raketa rendszerek.png|plane.png|howizer.png,5
Modern Kor,Szovjet-Afgán Háború,Sivatag,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Ágyú löveg,helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png|howizer.png,6
Modern Kor,Szovjet-Afgán Háború,Sztyeppe,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak,helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,5
Modern Kor,Szovjet-Afgán Háború,Tundra/Havas Táj,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png,Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg|Helikopterek,helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|helicopter.png,5
Modern Kor,Szovjet-Afgán Háború,Városi Harc,Helikopter modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopter modellek|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak,helicopter.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,5
Modern Kor,Szíriai Polgárháború,Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopterek|Raketa rendszerek|Repülők|Ágyú löveg|Helikopterek|Helikopterek,helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|helicopter.png|helicopter.png,6
Modern Kor,Szíriai Polgárháború,Hegyi Terep,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Helikopterek|Raketa rendszerek|Repülők|Terptárgyak|Ágyú löveg|Helikopterek,helicopter.png|Raketa rendszerek.png|plane.png|howizer.png|helicopter.png,5
Modern Kor,Szíriai Polgárháború,Mérsékelt Övi Síkság/Dombvidék,Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Terptárgyak,tank.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png,5
Modern Kor,Szíriai Polgárháború,Partraszállás/Vízközeli,Raketa rendszerek|Repülő modellek|Repülő modellek,Raketa rendszerek.png|plane.png|plane.png,Raketa rendszerek|Repülő modellek|Repülő modellek,Raketa rendszerek.png|plane.png|plane.png,3
Modern Kor,Szíriai Polgárháború,Sivatag,Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Raketa rendszerek|Repülők|Repülők|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg|Ágyú löveg,tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|Raketa rendszerek.png|plane.png|plane.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png|howizer.png,Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Repülők|Ágyú löveg,tank.png|helicopter.png|katona.png|Raketa rendszerek.png|plane.png|howizer.png,6
